status,card_present,Tax_desc,Balance,Gender,Age,State,Amount,Movement,SalaryPerAnnum
1,1.00,0,2117.22,1,40,1.00,40.90,0,25897.44
2,0.80,1,1705.43,2,20,2.86,163.00,0,22421.16
1,1.00,0,1248.36,1,43,2.00,61.06,0,15713.04
1,1.00,2,1232.75,1,43,2.00,15.61,0,14980.32
2,0.80,1,4348.50,2,19,2.86,27.00,0,52506.00
2,0.80,1,1203.75,1,43,2.86,29.00,0,14793.00
2,0.80,3,4438.16,2,23,2.86,25.00,0,53557.92
2,0.80,3,260514.83,2,46,2.86,22.00,0,3126441.96
2,0.80,1,3117.94,1,26,2.86,55.00,0,38075.28
1,0.00,2,30583.15,1,43,2.00,12.08,0,367142.76
2,0.80,3,4474.38,1,39,2.86,25.00,0,53992.56
1,1.00,0,1636.91,1,19,3.00,17.96,0,19858.44
1,1.00,0,11525.54,2,24,1.00,14.49,0,138480.36
1,0.00,0,1625.34,1,19,3.00,11.57,0,19642.92
1,1.00,2,2072.10,1,40,1.00,45.12,0,25406.64
1,0.00,2,12529.59,1,34,4.00,33.89,0,150761.76
1,1.00,2,2086.31,2,25,1.00,4.38,0,25088.28
1,1.00,2,1689.89,1,21,3.00,28.49,0,20620.56
1,1.00,2,1675.46,1,21,5.00,14.43,0,20278.68
1,1.00,0,11438.51,2,24,1.00,87.03,0,138306.48
1,0.00,2,1089.59,1,20,5.00,15.91,0,13266.00
1,1.00,2,49756.21,2,78,2.00,25.70,0,597382.92
2,0.80,1,2040.10,1,40,2.86,32.00,0,24865.20
1,0.00,0,1290.08,2,22,3.00,31.62,0,15860.40
1,1.00,0,18784.07,1,38,2.00,16.13,0,225602.40
1,1.00,2,29645.42,1,43,2.00,937.73,0,366997.80
2,0.80,4,8342.11,2,23,2.86,3903.95,1,146952.72
2,0.80,1,1195.08,2,22,2.86,95.00,0,15480.96
1,1.00,0,29143.75,1,43,1.00,501.67,0,355745.04
1,1.00,2,58154.74,2,33,2.00,17.97,0,698072.52
1,0.00,2,2058.92,2,25,2.00,27.39,0,25035.72
1,1.00,2,1109.58,2,24,2.00,27.39,0,13643.64
2,0.80,4,2040.58,1,23,2.86,1626.48,1,44004.72
2,0.80,1,3071.94,1,26,2.86,46.00,0,37415.28
2,0.80,4,3158.51,2,22,2.86,983.36,1,49702.44
2,0.80,1,186371.86,1,40,2.86,170.00,0,2238502.32
1,1.00,2,4172.16,2,19,4.00,3.28,0,50105.28
1,1.00,2,30163.44,2,28,3.00,33.45,0,362362.68
2,0.80,4,2517.66,2,24,2.86,1408.08,1,47108.88
2,0.80,3,2032.92,2,25,2.86,26.00,0,24707.04
2,0.80,4,2271.79,1,43,2.86,1068.04,1,40077.96
1,0.00,2,29128.11,1,43,2.00,15.64,0,349725.00
